category,subcategory,question,option1,option2,option3,option4,correct_option,difficulty,tags,image_url,explanation,status,last_used_at,video_ids
Sports,Football,How many players are on each side in a standard football (soccer) match?,11,9,12,10,1,easy,sports|football,,Each football team fields 11 players on the pitch including one goalkeeper.,unused,,
Sports,Football,Which country has won the most FIFA World Cup titles?,Brazil,Germany,Italy,Argentina,1,easy,sports|football|world cup,,Brazil has won the FIFA World Cup five times in 1958 1962 1970 1994 and 2002.,unused,,
Sports,Football,In what year was the first FIFA World Cup held?,1930,1934,1926,1924,1,medium,sports|football|world cup,,The first FIFA World Cup was held in Uruguay in 1930 with Uruguay winning as the host nation.,unused,,
Sports,Football,Who has scored the most goals in FIFA World Cup history?,Miroslav Klose,Ronaldo,Gerd Muller,Pele,1,hard,sports|football|world cup,,Miroslav Klose scored 16 goals for Germany across multiple World Cups setting the record in 2014.,unused,,
Sports,Football,What is the maximum number of substitutions per team in a FIFA World Cup match?,5,3,4,6,1,medium,sports|football|rules,,FIFA increased the substitution limit to 5 per team per match during official competitions.,unused,,
Sports,Basketball,How high is a standard basketball hoop from the floor?,10 feet (3.05 m),8 feet (2.44 m),12 feet (3.66 m),9 feet (2.74 m),1,easy,sports|basketball,,Both NBA and FIBA regulations set the rim height at 10 feet (3.05 metres) from the floor.,unused,,
Sports,Basketball,Which NBA team has won the most championships?,Boston Celtics,Los Angeles Lakers,Chicago Bulls,Golden State Warriors,1,hard,sports|basketball|nba,,The Boston Celtics have won 18 NBA championships as of 2024 the most in league history.,unused,,
Sports,Basketball,Who holds the record for the most points scored in NBA history?,LeBron James,Kareem Abdul-Jabbar,Karl Malone,Kobe Bryant,1,medium,sports|basketball|nba,,LeBron James surpassed Kareem Abdul-Jabbar's long-standing scoring record on February 7 2023.,unused,,
Sports,Basketball,How many points is a successful three-point shot worth in basketball?,3,2,4,1,1,easy,sports|basketball,,Three-point shots are worth 3 points and must be taken from beyond the three-point arc.,unused,,
Sports,Basketball,Who invented the game of basketball?,James Naismith,Larry Bird,Michael Jordan,Bob Cousy,1,easy,sports|basketball|history,,Canadian-American Dr. James Naismith invented basketball in December 1891 at a YMCA in Massachusetts.,unused,,
Sports,Tennis,How many sets are in a standard men's Grand Slam singles match?,Best of five sets,Best of three sets,Best of seven sets,Best of two sets,1,medium,sports|tennis|grand slam,,Men's Grand Slam singles matches are best of 5 sets while women's matches are best of 3 sets.,unused,,
Sports,Tennis,Which player has won the most Grand Slam singles titles in men's tennis?,Novak Djokovic,Rafael Nadal,Roger Federer,Pete Sampras,1,medium,sports|tennis|grand slam,,Novak Djokovic holds 24 Grand Slam singles titles as of 2024 the most in men's tennis history.,unused,,
Sports,Tennis,What is it called when a serve is so good the opponent cannot touch it?,Ace,Fault,Let,Deuce,1,easy,sports|tennis,,An ace is a legal serve that the receiver fails to touch earning the server a direct point.,unused,,
Sports,Tennis,Which Grand Slam tournament is played on grass courts?,Wimbledon,French Open,US Open,Australian Open,1,easy,sports|tennis|grand slam,,Wimbledon held at the All England Club in London is the only Grand Slam played on grass.,unused,,
Sports,Tennis,Who has won the most Wimbledon singles titles in women's tennis?,Martina Navratilova,Serena Williams,Steffi Graf,Billie Jean King,1,medium,sports|tennis|wimbledon,,Martina Navratilova won 9 Wimbledon singles titles between 1978 and 1990 a record in women's tennis.,unused,,
Sports,Olympics,In what year were the first modern Olympic Games held?,1896,1900,1892,1904,1,medium,sports|olympics,,The first modern Olympics were held in Athens Greece in April 1896 restoring the ancient tradition.,unused,,
Sports,Olympics,In which city were the 1996 Summer Olympics held?,Atlanta,Los Angeles,Barcelona,Sydney,1,medium,sports|olympics,,Atlanta Georgia hosted the 1996 Summer Olympics (the Centennial Games) in July and August.,unused,,
Sports,Olympics,How many rings are on the Olympic flag?,5,4,6,3,1,easy,sports|olympics,,The 5 interlocking rings represent the five continents: Africa Americas Asia Europe and Oceania.,unused,,
Sports,Olympics,What is the Olympic motto in English?,Faster Higher Stronger,Run Jump Swim,Swifter Nobler Braver,Speed Power Endurance,1,easy,sports|olympics,,The Olympic motto Citius Altius Fortius means Faster Higher Stronger adopted by the IOC in 1894.,unused,,
Sports,Olympics,Which country has won the most Olympic gold medals overall in history?,United States,China,Soviet Union,United Kingdom,1,medium,sports|olympics,,The United States leads the all-time Olympic gold medal count with over 1000 gold medals.,unused,,
