category,subcategory,question,option1,option2,option3,option4,correct_option,difficulty,tags,image_url,explanation,status,last_used_at,video_ids
Technology,AI,What does AI stand for?,Artificial Intelligence,Automated Intelligence,Applied Interface,Algorithmic Integration,1,easy,technology|ai,,AI stands for Artificial Intelligence - the simulation of human intelligence by computer systems.,unused,,
Technology,AI,Which company created ChatGPT?,OpenAI,Google,Meta,Microsoft,1,easy,technology|ai|llm,,ChatGPT was created by OpenAI and released publicly in November 2022.,unused,,
Technology,AI,"What technique trains a neural network using labelled input-output pairs?",Supervised Learning,Unsupervised Learning,Reinforcement Learning,Transfer Learning,1,medium,technology|ai|ml,,Supervised learning uses labelled training data to teach models to predict the correct output.,unused,,
Technology,AI,What does LLM stand for in artificial intelligence?,Large Language Model,Linear Logic Machine,Layered Learning Matrix,Low-Level Module,1,medium,technology|ai|llm,,LLMs like GPT are trained on massive text datasets to understand and generate human language.,unused,,
Technology,AI,What is the Turing Test designed to evaluate?,A machine's ability to exhibit human-like intelligence,A computer's processing speed,Memory capacity of AI systems,Accuracy of machine translation,1,medium,technology|ai|history,,The Turing Test (1950) asks whether a machine can convince a human evaluator it is human.,unused,,
Technology,Programming,What does HTML stand for?,HyperText Markup Language,High Transfer Markup Language,HyperText Machine Language,Hyperlink Text Management Language,1,easy,technology|programming|web,,HTML is the standard markup language for creating web pages and web applications.,unused,,
Technology,Programming,What keyword is used to define a function in Python?,def,func,function,define,1,easy,technology|programming|python,,In Python the def keyword is used to define a function followed by the function name.,unused,,
Technology,Programming,What does API stand for?,Application Programming Interface,Automated Program Integration,Applied Protocol Interface,Application Program Index,1,easy,technology|programming|web,,APIs allow different software applications to communicate and share data with each other.,unused,,
Technology,Programming,What does SQL stand for?,Structured Query Language,Sequential Query Logic,System Query Library,Simple Query Lookup,1,easy,technology|programming|database,,SQL is the standard language for managing querying and manipulating relational databases.,unused,,
Technology,Programming,What does OOP stand for in software development?,Object-Oriented Programming,Online Open Protocol,Ordered Output Process,Operating Optimisation Platform,1,medium,technology|programming,,OOP is a programming paradigm that organises code around objects and classes rather than functions.,unused,,
Technology,Gadgets,What company manufactures the iPhone?,Apple,Samsung,Google,Sony,1,easy,technology|gadgets|mobile,,Apple Inc. released the first iPhone on June 29 2007 revolutionising the smartphone industry.,unused,,
Technology,Gadgets,What does USB stand for?,Universal Serial Bus,Universal System Board,Unified Storage Backbone,Ultra Speed Bridge,1,easy,technology|gadgets,,USB (Universal Serial Bus) is a standard interface for connecting devices to computers introduced in 1996.,unused,,
Technology,Gadgets,What technology allows short-range wireless communication between devices?,Bluetooth,Wi-Fi,NFC,Infrared,1,easy,technology|gadgets|wireless,,Bluetooth enables wireless data exchange over short distances of about 10 metres using radio waves.,unused,,
Technology,Gadgets,What is the standard aspect ratio for modern widescreen displays?,16:9,4:3,21:9,3:2,1,medium,technology|gadgets|displays,,The 16:9 ratio became the HDTV standard and is now used in most monitors TVs and smartphones.,unused,,
Technology,Gadgets,What does RAM stand for?,Random Access Memory,Read Access Memory,Rapid Access Module,Remote Application Manager,1,easy,technology|gadgets|hardware,,RAM is a type of computer memory that temporarily stores data for programs that are actively running.,unused,,
Technology,Internet,Who invented the World Wide Web?,Tim Berners-Lee,Bill Gates,Steve Jobs,Vint Cerf,1,medium,technology|internet|history,,Tim Berners-Lee invented the World Wide Web in 1989 while working at CERN in Switzerland.,unused,,
Technology,Internet,What does URL stand for?,Uniform Resource Locator,Universal Request Link,Unified Retrieval Location,User Resource Label,1,easy,technology|internet,,A URL is the address used to access a resource on the internet such as a web page.,unused,,
Technology,Internet,What does HTTP stand for?,HyperText Transfer Protocol,High Traffic Transfer Procedure,Hyperlink Text Transport Protocol,Hosted Transfer Terminal Protocol,1,easy,technology|internet,,HTTP is the foundation of data communication on the World Wide Web.,unused,,
Technology,Internet,In what year was the first website published?,1991,1989,1993,1995,1,medium,technology|internet|history,,The first website was published on August 6 1991 by Tim Berners-Lee at CERN.,unused,,
Technology,Internet,What protocol is primarily used for sending email between servers?,SMTP,HTTP,FTP,POP3,1,medium,technology|internet|email,,SMTP (Simple Mail Transfer Protocol) is used to send emails from a client to a server and between servers.,unused,,
