category,subcategory,question,option1,option2,option3,option4,correct_option,difficulty,tags,image_url,explanation,status,last_used_at,video_ids
Geography,World,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,1,easy,geography|rivers,,The Nile River at 6650 km is traditionally considered the world's longest river.,unused,,
Geography,World,Which country has the largest land area?,Russia,Canada,China,United States,1,easy,geography|countries,,Russia covers approximately 17.1 million square kilometres more than any other country.,unused,,
Geography,World,What is the highest mountain in the world?,Mount Everest,K2,Kangchenjunga,Mont Blanc,1,easy,geography|mountains,,Mount Everest at 8849 metres is the highest peak above mean sea level.,unused,,
Geography,World,Which is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,1,easy,geography|oceans,,The Pacific Ocean covers about 165 million square kilometres over a third of Earth's surface.,unused,,
Geography,World,What is the smallest country in the world by area?,Vatican City,Monaco,San Marino,Liechtenstein,1,medium,geography|countries,,Vatican City covers just 44 hectares making it the world's smallest internationally recognised state.,unused,,
Geography,World,Which is the driest non-polar desert in the world?,Atacama Desert,Sahara Desert,Gobi Desert,Arabian Desert,1,hard,geography|deserts,,The Atacama in South America averages less than 1 millimetre of rainfall per year in some areas.,unused,,
Geography,World,On which continent is the Sahara Desert located?,Africa,Asia,Australia,South America,1,easy,geography|deserts,,The Sahara is the world's largest hot desert covering much of northern Africa.,unused,,
Geography,Europe,What is the capital of France?,Paris,Lyon,Marseille,Bordeaux,1,easy,geography|europe|capitals,,Paris has been the capital of France since the late 10th century.,unused,,
Geography,Europe,What is the longest river in Europe?,Volga,Danube,Rhine,Thames,1,medium,geography|europe|rivers,,The Volga River stretches 3690 km across Russia making it Europe's longest river.,unused,,
Geography,Europe,Which body of water separates Europe from Africa?,Mediterranean Sea,Red Sea,Black Sea,North Sea,1,easy,geography|europe|seas,,The Mediterranean Sea lies between Southern Europe North Africa and Western Asia.,unused,,
Geography,Europe,In which country is the Colosseum located?,Italy,Greece,France,Spain,1,easy,geography|europe|landmarks,,The Colosseum in Rome Italy was built between 70 and 80 AD under Emperors Vespasian and Titus.,unused,,
Geography,Europe,Which European country has the most UNESCO World Heritage Sites?,Italy,Spain,France,Germany,1,medium,geography|europe|culture,,Italy has over 50 UNESCO World Heritage Sites the most of any country in Europe.,unused,,
Geography,Asia,What is the capital of Japan?,Tokyo,Osaka,Kyoto,Hiroshima,1,easy,geography|asia|capitals,,Tokyo has been Japan's capital since 1869 and is the world's most populous metropolitan area.,unused,,
Geography,Asia,What is the most populous country in the world as of 2024?,India,China,United States,Indonesia,1,easy,geography|asia|population,,India surpassed China in 2023 to become the world's most populous country with over 1.4 billion people.,unused,,
Geography,Asia,In which country is Mount Everest primarily located?,Nepal,China,India,Bhutan,1,medium,geography|asia|mountains,,Mount Everest sits on the Nepal-China border but the summit is on the Nepali side.,unused,,
Geography,Asia,Which river is considered the most sacred in Hinduism?,Ganges,Indus,Brahmaputra,Yamuna,1,medium,geography|asia|rivers,,The Ganges flows from the Himalayas across India and is central to Hindu religious life.,unused,,
Geography,Asia,What is the capital of China?,Beijing,Shanghai,Guangzhou,Nanjing,1,easy,geography|asia|capitals,,Beijing (formerly Peking) has served as China's capital since 1421 under the Ming Dynasty.,unused,,
Geography,Americas,What is the capital of Brazil?,Brasilia,Sao Paulo,Rio de Janeiro,Salvador,1,medium,geography|americas|capitals,,Brasilia replaced Rio de Janeiro as Brazil's federal capital in 1960.,unused,,
Geography,Americas,Which is the longest mountain range in the world?,Andes,Himalayas,Rockies,Alps,1,medium,geography|americas|mountains,,The Andes run approximately 7000 km along the western coast of South America.,unused,,
Geography,Americas,Which river has the largest water discharge in the world?,Amazon,Nile,Congo,Mississippi,1,medium,geography|americas|rivers,,The Amazon River discharges about 20% of all fresh water flowing into Earth's oceans.,unused,,
