category,subcategory,question,option1,option2,option3,option4,correct_option,difficulty,tags,image_url,explanation,status,last_used_at,video_ids
Movies,Box Office,What is the highest-grossing film of all time (unadjusted for inflation)?,Avatar (2009),Avengers: Endgame,Titanic (1997),Star Wars: The Force Awakens,1,hard,movies|box office,,Avatar (2009) holds the all-time nominal box office record at approximately $2.923 billion globally.,unused,,
Movies,Box Office,Which film was the first to gross over $1 billion worldwide?,Titanic (1997),Jurassic Park,The Lion King,Star Wars,1,medium,movies|box office,,Titanic (1997) was the first film to gross over $1 billion reaching approximately $2.19 billion.,unused,,
Movies,Box Office,In what year was the first Academy Awards ceremony held?,1929,1934,1920,1945,1,hard,movies|oscars,,The first Academy Awards were held on May 16 1929 at the Hollywood Roosevelt Hotel.,unused,,
Movies,Box Office,Which MCU film has the highest worldwide box office?,Avengers: Endgame,Avengers: Infinity War,Spider-Man: No Way Home,Black Panther,1,medium,movies|marvel|box office,,Avengers: Endgame grossed approximately $2.798 billion making it the second highest-grossing film ever.,unused,,
Movies,Box Office,How many films have ever grossed over $2 billion at the global box office?,Five,Three,Seven,Ten,1,hard,movies|box office,,As of 2024 five films have crossed $2 billion: Avatar (x2) Avengers: Endgame Titanic and Star Wars: TFA.,unused,,
Movies,Directors,Who directed the original Star Wars film in 1977?,George Lucas,Steven Spielberg,Francis Ford Coppola,Ridley Scott,1,easy,movies|directors,,George Lucas wrote and directed Star Wars: A New Hope (1977) creating one of cinema's biggest franchises.,unused,,
Movies,Directors,Who directed Schindler's List?,Steven Spielberg,Martin Scorsese,Francis Ford Coppola,Stanley Kubrick,1,easy,movies|directors,,Steven Spielberg directed Schindler's List in 1993 winning the Academy Award for Best Director.,unused,,
Movies,Directors,Who directed The Dark Knight trilogy?,Christopher Nolan,Tim Burton,Joel Schumacher,Zack Snyder,1,medium,movies|directors|batman,,Christopher Nolan directed Batman Begins (2005) The Dark Knight (2008) and The Dark Knight Rises (2012).,unused,,
Movies,Directors,Who directed Pulp Fiction in 1994?,Quentin Tarantino,Robert Rodriguez,Spike Lee,Joel Coen,1,easy,movies|directors,,Quentin Tarantino wrote and directed Pulp Fiction which won the Palme d'Or at the 1994 Cannes Film Festival.,unused,,
Movies,Directors,Who directed Titanic in 1997?,James Cameron,Steven Spielberg,Ridley Scott,Peter Jackson,1,easy,movies|directors,,James Cameron both wrote and directed Titanic winning Best Director at the Academy Awards.,unused,,
Movies,Directors,What nationality is legendary director Akira Kurosawa?,Japanese,Chinese,Korean,Vietnamese,1,medium,movies|directors,,Akira Kurosawa (1910-1998) was a renowned Japanese filmmaker known for Seven Samurai and Rashomon.,unused,,
Movies,Actors,Who played Iron Man (Tony Stark) in the Marvel Cinematic Universe?,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,1,easy,movies|actors|marvel,,Robert Downey Jr. portrayed Tony Stark / Iron Man from 2008 to 2019 across multiple MCU films.,unused,,
Movies,Actors,Who played the Joker in The Dark Knight (2008)?,Heath Ledger,Jack Nicholson,Jared Leto,Joaquin Phoenix,1,easy,movies|actors|batman,,Heath Ledger's portrayal of the Joker earned him a posthumous Academy Award for Best Supporting Actor.,unused,,
Movies,Actors,Who played Forrest Gump in the 1994 film?,Tom Hanks,Tom Cruise,Kevin Costner,Mel Gibson,1,easy,movies|actors,,Tom Hanks won the Academy Award for Best Actor for his performance as Forrest Gump.,unused,,
Movies,Actors,Which actress has won the most Academy Awards for Best Actress?,Katharine Hepburn,Meryl Streep,Frances McDormand,Cate Blanchett,1,hard,movies|actors|oscars,,Katharine Hepburn won 4 Academy Awards for Best Actress between 1934 and 1982.,unused,,
Movies,Actors,Who plays Katniss Everdeen in The Hunger Games film series?,Jennifer Lawrence,Emma Watson,Shailene Woodley,Kristen Stewart,1,easy,movies|actors,,Jennifer Lawrence played Katniss Everdeen in all four Hunger Games films from 2012 to 2015.,unused,,
Movies,Genres,What is considered the first feature-length animated film?,Snow White and the Seven Dwarfs,Fantasia,Bambi,Pinocchio,1,medium,movies|genres|animation,,Disney's Snow White and the Seven Dwarfs (1937) is recognised as the first feature-length animated film.,unused,,
Movies,Genres,What genre is characterised primarily by elements of fear and the supernatural?,Horror,Thriller,Drama,Mystery,1,easy,movies|genres,,Horror films are designed to frighten unsettle and provoke fear in the audience.,unused,,
Movies,Genres,Which country's film industry is known as Bollywood?,India,Nigeria,Iran,South Korea,1,easy,movies|genres|world cinema,,Bollywood refers to the Hindi-language film industry based in Mumbai India.,unused,,
Movies,Genres,What is a film noir primarily associated with?,Crime and moral ambiguity,Science fiction,Romantic comedy,Historical drama,1,medium,movies|genres,,Film noir features dark themes cynical characters moral ambiguity and stylised black-and-white cinematography.,unused,,
