category,subcategory,question,option1,option2,option3,option4,correct_option,difficulty,tags,image_url,explanation,status,last_used_at,video_ids
History,Ancient,Which civilisation built the Great Pyramids of Giza?,Ancient Egyptians,Romans,Greeks,Sumerians,1,easy,history|ancient|egypt,,The Great Pyramids were built during Egypt's Old Kingdom period around 2580 to 2560 BC.,unused,,
History,Ancient,Who was the first Emperor of China?,Qin Shi Huang,Kublai Khan,Han Gaozu,Sun Yat-sen,1,medium,history|ancient|china,,Qin Shi Huang unified China's warring states and declared himself its first emperor in 221 BC.,unused,,
History,Ancient,What was the capital of the ancient Roman Empire?,Rome,Athens,Constantinople,Alexandria,1,easy,history|ancient|rome,,Rome (in modern-day Italy) served as the political and cultural heart of the Roman Empire.,unused,,
History,Ancient,Which ancient wonder was located in Alexandria?,The Lighthouse,The Hanging Gardens,The Colossus,The Temple of Artemis,1,medium,history|ancient|wonders,,The Lighthouse of Alexandria stood approximately 137 metres tall and was one of the Seven Wonders.,unused,,
History,Ancient,In which city were the ancient Olympic Games held?,Olympia,Athens,Sparta,Corinth,1,easy,history|ancient|greece,,The ancient Olympics were held in Olympia Greece beginning in 776 BC in honour of Zeus.,unused,,
History,Medieval,What year did the Norman Conquest of England take place?,1066,1087,1215,1000,1,medium,history|medieval|england,,William the Conqueror defeated King Harold II at the Battle of Hastings in October 1066.,unused,,
History,Medieval,What was the Black Death?,Bubonic plague,Smallpox,Typhoid,Cholera,1,medium,history|medieval|disease,,The Black Death (1347-1351) was a devastating bubonic plague that killed 30-60% of Europe's population.,unused,,
History,Medieval,In which year was the Magna Carta signed?,1215,1066,1189,1300,1,medium,history|medieval|england,,King John of England signed Magna Carta at Runnymede on June 15 1215 limiting royal power.,unused,,
History,Medieval,Who was the first Holy Roman Emperor?,Charlemagne,Otto I,Frederick I,Henry IV,1,hard,history|medieval|europe,,Charlemagne was crowned Holy Roman Emperor by Pope Leo III on Christmas Day 800 AD.,unused,,
History,Medieval,What was the name of the Islamic Golden Age's centre of learning?,Baghdad,Cairo,Damascus,Cordoba,1,medium,history|medieval|islam,,Baghdad under the Abbasid Caliphate was a global centre of science philosophy and culture.,unused,,
History,Modern,In what year did World War I begin?,1914,1918,1939,1912,1,easy,history|modern|war,,WWI began in July and August 1914 after the assassination of Archduke Franz Ferdinand.,unused,,
History,Modern,What year did the Berlin Wall fall?,1989,1991,1985,1990,1,medium,history|modern|europe,,The Berlin Wall fell on November 9 1989 symbolising the end of the Cold War era.,unused,,
History,Modern,Which leader guided India's independence through nonviolent resistance?,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,B.R. Ambedkar,1,easy,history|modern|india,,Gandhi's nonviolent civil disobedience movement led India to independence from Britain in 1947.,unused,,
History,Modern,In what year did World War II end?,1945,1944,1946,1943,1,easy,history|modern|war,,WWII ended in 1945 with Germany's surrender in May and Japan's formal surrender in September.,unused,,
History,Modern,What event triggered the start of World War I?,"Assassination of Archduke Franz Ferdinand","Sinking of the Lusitania","Invasion of Poland","Treaty of Versailles",1,medium,history|modern|war,,Franz Ferdinand was assassinated in Sarajevo by Gavrilo Princip on June 28 1914.,unused,,
History,Modern,Which country was first to grant women the right to vote?,New Zealand,Australia,Finland,United Kingdom,1,medium,history|modern|rights,,New Zealand granted women the right to vote in 1893 the first self-governing country to do so.,unused,,
History,American,In what year was the Declaration of Independence signed?,1776,1783,1789,1770,1,easy,history|american,,The Declaration of Independence was adopted on July 4 1776 declaring independence from Britain.,unused,,
History,American,Who was the first President of the United States?,George Washington,John Adams,Thomas Jefferson,Benjamin Franklin,1,easy,history|american,,George Washington served as the first US President from 1789 to 1797.,unused,,
History,American,What year did the US enter World War II?,1941,1939,1942,1940,1,medium,history|american|war,,The US entered WWII after Japan's surprise attack on Pearl Harbor on December 7 1941.,unused,,
History,American,Which amendment to the US Constitution abolished slavery?,13th,14th,15th,12th,1,medium,history|american|constitution,,The 13th Amendment was ratified on December 6 1865 abolishing slavery throughout the United States.,unused,,
